,id,name,lat,lon,symbol,distance,ascent
8690,9586064,Chlöpfen - Chärns,47.1081942,8.2807835,yellow::yellow_diamond,,
8691,9594055,,46.7017316,9.7252473,red:white:red_bar,,
8692,9594180,,46.6983056,9.7205101,red:white:red_bar,,
8693,9594181,,46.6888139,9.7047856,red:white:red_bar,,
8694,9594553,,46.6786465,9.6867991,red:white:red_bar,,
8695,9594579,,46.6936474,9.7100936,red:white:red_bar,,
8696,9594580,,46.6859805,9.6896237,red:white:red_bar,,
8697,9594613,,46.6807828,9.6767980,red:white:red_bar,,
8698,9599195,,46.6622717,9.5928244,red:white:red_bar,,
8699,9599196,,46.6686571,9.6087967,red:white:red_bar,,
8700,9599197,Riffigweiher - Rotbachbrücke,47.0915174,8.2713081,yellow::yellow_diamond,,
8701,9599913,,46.6717066,9.6768075,red:white:red_bar,,
8702,9603281,Buschenchappeli - Schwaendi,47.1143434,8.5420773,yellow::yellow_diamond,,
8703,9603282,Buschenchappeli - Fiselstuden,47.1156934,8.5422003,yellow::yellow_diamond,,
8704,9603283,Frueebueel - Buschenchappeli,47.1127137,8.5397777,yellow::yellow_diamond,,
8705,9603284,Frueebueel - Schwaendi,47.1147005,8.5382892,yellow::yellow_diamond,,
8706,9603285,Balisbrugg - Frueebueel,47.1105075,8.5344743,yellow::yellow_diamond,,
8707,9603286,Herrenwald - Balisbrugg,47.1064415,8.5299076,red:white:red_bar,,
8708,9603287,Geisswald - Herrenwald,47.1034288,8.5255539,red:white:red_bar,,
8709,9603288,Ausseregg - Geisswald,47.1010170,8.5227286,red:white:red_bar,,
8710,9603289,,47.1000587,8.5188835,yellow::yellow_diamond,,
8711,9603649,Fiselstuden - Boden,47.1257062,8.5491931,yellow::yellow_diamond,,
8712,9604282,Süessblätz - Looren,47.3433996,8.6437590,yellow::yellow_diamond,,
8713,9610470,Baar SBB - Dorfstrasse,47.1943020,8.5234885,yellow::yellow_diamond,,
8714,9610471,Ober Allmend - Dorfstrasse,47.1924306,8.5348157,yellow::yellow_diamond,,
8715,9622791,Chliholz - Born,47.3327878,7.8967841,yellow::yellow_diamond,,
8716,9622792,Bad LauterbachChessel,47.3299482,7.9532271,yellow::yellow_diamond,,
8717,9626342,Bäregghöchi - Ober Fouz,46.9278109,7.8383557,yellow::yellow_diamond,,
8718,9626343,Bäregghöchi - Fouzhöchi,46.9288211,7.8378707,yellow::yellow_diamond,,
8719,9626344,Bäregghöchi - Trubschachen,46.9256302,7.8393394,yellow::yellow_diamond,,
8720,9627120,WaldNäheRüthof-Emmerzen-Bierwinken-Sulgen,47.6184386,9.2154061,yellow::yellow_diamond,,
8721,9627685,Liebburg - Scherzingen,47.6280668,9.2103008,yellow::yellow_diamond,,
8722,9627836,Tobelmüli - Forch,47.3230497,8.6402539,yellow::yellow_diamond,,
8723,9628426,Höfli - Born,47.3223056,7.8905930,yellow::yellow_diamond,,
8724,9628427,Rickenbach - Schlössli,47.3462184,7.8418093,yellow::yellow_diamond,,
8725,9628428,Steckenberg - Schlössli,47.3505561,7.8391021,yellow::yellow_diamond,,
8726,9628429,Olten - Rumpelweid,47.3555111,7.8867158,yellow::yellow_diamond,,
8727,9642381,,47.1363374,9.0018737,red:white:red_bar,,
8728,9642383,,47.1479954,9.0177748,yellow::yellow_diamond,,
8729,9642384,,47.1471646,9.0144159,yellow::yellow_diamond,,
8730,9642385,,47.1388093,8.9941340,red:white:red_bar,,
8731,9642386,,47.1317490,8.9939504,red:white:red_bar,,
8732,9642635,,47.1284887,9.0057845,yellow::yellow_diamond,,
8733,9642992,Wetzwil - Meilen Dorfbach,47.2832743,8.6362109,yellow::yellow_diamond,,
8734,9646159,,46.8237668,8.4047206,yellow::yellow_diamond,,
8735,9647030,,47.0007265,8.1620406,yellow::yellow_diamond,,
8736,9647031,Feldmoos - Entlebuch,46.9898778,8.0764666,yellow::yellow_diamond,,
8737,9647032,Feldmoos - Mettilimoos,46.9868333,8.0884040,yellow::yellow_diamond,,
8738,9647033,,46.9987052,8.1405911,yellow::yellow_diamond,,
8739,9647034,,46.9935749,8.1444168,yellow::yellow_diamond,,
8740,9649768,Baden - Spittelau,47.4644933,8.3041767,yellow::yellow_diamond,,
8741,9649769,östliche Sennhof - Widenhau,47.4058709,8.3516715,yellow::yellow_diamond,,
8742,9649770,Egelsee - Widenhau,47.4036554,8.3584136,yellow::yellow_diamond,,
8743,9649771,Waldhof - Hasenberg,47.3820558,8.3651080,yellow::yellow_diamond,,
8744,9649773,Trubschachen Heimatmuseum - Trubschachen Bahnhof,46.9216925,7.8436707,yellow::yellow_diamond,,
8745,9652599,Erlen - Waldschlagchrütz,47.1310002,8.6512617,yellow::yellow_diamond,,
8746,9652600,,47.1325066,8.6598131,yellow::yellow_diamond,,
8747,9652664,,47.1519009,8.6353749,yellow::yellow_diamond,,
8748,9652665,,47.1520979,8.6458512,yellow::yellow_diamond,,
8749,9652666,,47.1506792,8.6471944,yellow::yellow_diamond,,
8750,9652667,,47.1459138,8.6569883,yellow::yellow_diamond,,
8751,9652749,,47.1505837,8.6172613,yellow::yellow_diamond,,
8752,9652750,Mangelihöche - Chnollenweid Sätteli,47.1533766,8.6158717,yellow::yellow_diamond,,
8753,9652751,Mangelhöhe - Usser Black,47.1578434,8.6281795,yellow::yellow_diamond,,
8754,9652752,,47.1484691,8.6278181,yellow::yellow_diamond,,
8755,9652753,,47.1513327,8.6257839,yellow::yellow_diamond,,
